IP,AbuseScore,Reports,Country,LastReported,ISP,UsageType
45.155.205.233,100,842,RU,2026-06-08T11:20:00+00:00,Stark Industries,Data Center/Web Hosting
193.169.255.78,100,531,NL,2026-06-07T09:02:00+00:00,IP Volume inc,Data Center/Web Hosting
118.25.6.39,88,210,CN,2026-06-06T22:14:00+00:00,Tencent Cloud,Data Center/Web Hosting
185.220.101.4,76,160,DE,2026-06-08T03:40:00+00:00,Tor Exit Relay,Reserved
103.135.218.193,38,12,MM,2026-06-05T18:00:00+00:00,Myanmar GT Broadband,Fixed Line ISP
103.135.216.7,25,5,MM,2026-06-04T14:30:00+00:00,Myanmar GT Broadband,Fixed Line ISP
103.135.217.45,12,3,MM,2026-06-03T10:00:00+00:00,Myanmar GT Broadband,Fixed Line ISP
103.135.219.90,5,1,MM,2026-06-02T08:15:00+00:00,Myanmar GT Broadband,Fixed Line ISP
103.135.216.1,0,0,MM,,Myanmar GT Broadband,Fixed Line ISP
103.135.216.2,0,0,MM,,Myanmar GT Broadband,Fixed Line ISP
103.135.216.3,0,0,MM,,Myanmar GT Broadband,Fixed Line ISP
103.135.218.50,0,0,MM,,Myanmar GT Broadband,Fixed Line ISP
8.8.8.8,0,0,US,,Google LLC,Data Center/Web Hosting
1.1.1.1,0,0,US,,Cloudflare,Data Center/Web Hosting
